116HG	Prader-Willi Syndrome
BNIP3	Alzheimer's Disease
BOD1L1	Amyotrophic Lateral Sclerosis
BOLA3P1	Stroke
BOLL	Autism Spectrum Disorder, Intracranial Aneurysm
BORCS7-ASMT	Autism Spectrum Disorder
BORCS7	Autism Spectrum Disorder, Parkinson's Disease
BORCS8-MEF2B	Multiple Sclerosis
BPNET	Neuroblastoma
BPTF	Amyotrophic Lateral Sclerosis
BRAF	Glioma
BRAFV600E	Glioma
BRAT1	Epilepsy
BRD2	Autism Spectrum Disorder
BRD7	Epilepsy
BRD8	Autism Spectrum Disorder
BRF1	Intellectual Disability
BRINP2	Autism Spectrum Disorder
BRIP1	Parkinson's Disease
BRWD1	Down Syndrome
BRWD3	Intellectual Disability
BSCL2	Motor Neurone Disease
BSG	Alzheimer's Disease, Glioma
BST1	Parkinson's Disease
BTBD18	Autism Spectrum Disorder
BTBD7	Stroke
BTBD9	Restless Legs Syndrome
BTD	Alzheimer's Disease, Coma
BTF3L4P3	Multiple Sclerosis
BTK	Meningitis
BTN1A1	Autism Spectrum Disorder
BTN2A1	Autism Spectrum Disorder
BTN2A2	Autism Spectrum Disorder
BTN2A3P	Autism Spectrum Disorder
BTN3A1	Autism Spectrum Disorder
BTN3A2	Autism Spectrum Disorder
BTN3A3	Autism Spectrum Disorder
BTNL2	Autism Spectrum Disorder, Multiple Sclerosis
BUD13	Multiple Sclerosis
BX118339	West Syndrome
BX284656.2	Alzheimer's Disease
BZW2	Alzheimer's Disease
C10orf105	Alzheimer's Disease
C10ORF204	Multiple Sclerosis
C10orf55	Multiple Sclerosis
C10orf71	Alzheimer's Disease
C10orf88	Alzheimer's Disease
C10orf99	Alzheimer's Disease
C11orf49	Autism Spectrum Disorder
C11orf58	Autism Spectrum Disorder
C12orf40	Parkinson's Disease
C12orf57	Glioma
C12orf75	Alzheimer's Disease
C16orf92	Autism Spectrum Disorder
